priority,primary_area,areas,source_type,file,path,ext,size_mb,pages,note,duplicates,snippet
High,010 Air Law / ATC,010 Air Law / ATC,Training textbook / exam prep,airlaw.pdf,/Users/rainerkoelle/Downloads/airlaw.pdf,pdf,0.9,53,Likely directly useful for exam-style concise explanations.,,TABLE OF CONTENTS Aviation Law Chapter 01 the Basis of international legislation » Introduction » The Requirement for Regulation » Understanding the Framework » Sovereignty and Territory » The Convention of International Civil Aviation » Standards and Recommended Practices » Procedures for Air Navig
High,010 Air Law / ATC,010 Air Law / ATC,Training textbook / exam prep,ATPL-AirLaw.pdf,/Users/rainerkoelle/Downloads/ATPL-AirLaw.pdf,pdf,71.6,570,Likely directly useful for exam-style concise explanations.,,"ATPL GROUND TRAINING SERIES AIR LAW Introduction I ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium, copied, stored in a retrieval sys"
High,010 Air Law / ATC,010 Air Law / ATC,Training textbook / exam prep,ATPL-OPS-procedures.pdf,/Users/rainerkoelle/Downloads/ATPL-OPS-procedures.pdf,pdf,9.5,272,Likely directly useful for exam-style concise explanations.,,ATPL GROUND TRAINING SERIES NEW YORK SANTA MARIA GANDER SHANWICK REYKJAVIK 50ºW 40ºW 30ºN 40ºN 40ºN 50ºN 60ºN 80ºN OPERATIONAL PROCEDURES Introduction I ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private s
High,010 Air Law / ATC,010 Air Law / ATC; 040 Human Performance; 050 Meteorology,Training textbook / exam prep,ATPL-PrinciplesOfFlight.pdf,/Users/rainerkoelle/Downloads/ATPL-PrinciplesOfFlight.pdf,pdf,12.5,604,Likely directly useful for exam-style concise explanations.,,ATPL GROUND TRAINING SERIES PRINCIPLES OF FLIGHT CAE_ATPL_13_Principles_of_Flight.indd 5 05/12/2013 14:12:57 IntroductionI ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may no
High,010 Air Law / ATC,010 Air Law / ATC; 062 Navigation / Radio Navigation,Regulatory / syllabus reference,BIR-chart-symbols.pdf,/Users/rainerkoelle/Downloads/BIR-chart-symbols.pdf,pdf,2.4,22,Use for validation and exact wording; not always ideal for aide-memoire prose.,,UK MIL AIP GEN 2 - 3 - 1 28 FEB 19 AIRAC 03/19   GEN 2.3 CHART SYMBOLS EN-ROUTE CHART SYMBOLOGY ENR CHART & ICAO ANNEX 4 SYMBOLOGY Spot Height FIR Peck NCRP CRP NCRP CRP VOR VOR Co-located NCRP VOR Co-located CRP TACAN VOR TACAN VORTAC TACAN Co-located CRP TACAN Co-located CRP VOR TACAN Co-located
High,010 Air Law / ATC,010 Air Law / ATC,Authority handbook / public training reference,CASA-VFRG.pdf,/Users/rainerkoelle/Downloads/CASA-VFRG.pdf,pdf,21.0,539,Good public cross-check source; adapt to EASA terminology where needed.,,"CASA VFRG | Version 7.0 Disclaimer: The guide has been prepared by CASA for information purposes only, and while every effort has been made to ensure that the contents accurately conform to the civil aviation legislation, this guide is not the law. CASA accepts no liability for damages or liability"
High,010 Air Law / ATC,010 Air Law / ATC; 022 Instrumentation / Avionics; 033 Flight Planning; 040 Human Performance; 050 Meteorology; 062 Navigation / Radio Navigation,Training textbook / exam prep,EASA CB-IR vs BIR infosheet CIE (2024_v1).pdf,/Users/rainerkoelle/Downloads/EASA CB-IR vs BIR infosheet CIE (2024_v1).pdf,pdf,0.1,1,Likely directly useful for exam-style concise explanations.,,"EASA CB-IR vs BIR comparison - infosheet EASA CB-IR vs BIR infosheet CIE (2024_v1) Cirrus Instruction Europe, Eugene Leeman © 1 CB-IR BIR Privileges Conduct IFR operations, including PBN same minimum decision height (DH) of 200 feet (60 m) DH or MDA at least 200ft (60) higher than standard IR, visib"
High,010 Air Law / ATC,010 Air Law / ATC,Training textbook / exam prep,EASA-CPL-groundschool-example.pdf,/Users/rainerkoelle/Downloads/EASA-CPL-groundschool-example.pdf,pdf,3.0,160,Likely directly useful for exam-style concise explanations.,,"Pre-Pilot Studies Phil Croucher “Never allow your ego, self-confidence, love of flying, pressure from a customer, boss or co-pilot, or economic need to interfere with your good judgement during any stage of a flight. There is no amount of pride, no thrill, pleasure, schedule or job that is worth you"
High,010 Air Law / ATC,010 Air Law / ATC,Regulatory / syllabus reference,EASA-Pilot-Logbook-PDF.pdf,/Users/rainerkoelle/Downloads/EASA-Pilot-Logbook-PDF.pdf,pdf,0.1,2,Use for validation and exact wording; not always ideal for aide-memoire prose.,,EASA Excel Pilot Logbook Pilot Logbook PDF Sample Printout from www.excelpilotlogbook.com 1 2 3 4 5 891011 12 13 14 16171819 1 6 7 (dd/mm/yy)PLACETIMEPLACE TIME SEME SE ME 16/07/08EGHH08:23EGHH09:05 0:42 0:42 1 1 25/08/08EGHH10:14EGHH11:08 0:54 0:54 1 1 7/11/08EGHH09:45EGHH10:57 1:12 1:12 1 1 11/11/
High,010 Air Law / ATC,010 Air Law / ATC,Regulatory / syllabus reference,EASA_BIR_Learning_Guide_Skeleton.docx,/Users/rainerkoelle/Downloads/EASA_BIR_Learning_Guide_Skeleton.docx,docx,0.0,,Use for validation and exact wording; not always ideal for aide-memoire prose.,,
High,010 Air Law / ATC,010 Air Law / ATC,Training textbook / exam prep,EASA_FEM_MODULE_2.2_PPL_A__V2023_RGB.pdf,/Users/rainerkoelle/Downloads/EASA_FEM_MODULE_2.2_PPL_A__V2023_RGB.pdf,pdf,0.3,22,Likely directly useful for exam-style concise explanations.,,Flight Examiner Manual Module 2 .2 - PPL (A) European Aviation Safety Agency | Flight Examiner Manual Module 2 .2 - PPL (A) 2 1.0 Introduction PPL(A) Skill Test V2021.1 General Applicable Framework Flight rules: VFR Operational rules: Part-NCO Crew concept: SPO Equipment: Aeroplane or TMG Applicable
High,010 Air Law / ATC,010 Air Law / ATC; 033 Flight Planning; 062 Navigation / Radio Navigation,Training textbook / exam prep,EASA_SIB_2022-07_1.pdf,/Users/rainerkoelle/Downloads/EASA_SIB_2022-07_1.pdf,pdf,1.2,4,Likely directly useful for exam-style concise explanations.,,EASA SIB No.: 2022-07 This is information only. Recommendations are not mandatory. TE.CAP.00117-007 © European Union Aviation Safety Agency. All rights reserved. ISO9001 Certified. Proprietary document. Copies are not controlled. Confirm revision status through the EASA-Internet/Intranet. An agency
High,010 Air Law / ATC,010 Air Law / ATC; 033 Flight Planning,Regulatory / syllabus reference,easa_webinar_fuel_and_flight_planning_lufthansa.pdf,/Users/rainerkoelle/Downloads/easa_webinar_fuel_and_flight_planning_lufthansa.pdf,pdf,1.2,13,Use for validation and exact wording; not always ideal for aide-memoire prose.,,lufthansagroup.com Fuel & Energy planning Implementation within an AOC 07th July 2022 Jens Wöhrlin (Head of Compliance Steering Operations LHA) CPT Tom Borer (Projectlead - F&FP Project LHG) Intern 08.07.2022 OM-A Harmonization @LHG Page 2 Project framework • Triggered by Regulatory Monitoring Exper
High,010 Air Law / ATC,010 Air Law / ATC; 040 Human Performance,Training textbook / exam prep,ecqb-update-ecqb-2024.pdf,/Users/rainerkoelle/Downloads/ecqb-update-ecqb-2024.pdf,pdf,0.8,3,Likely directly useful for exam-style concise explanations.,,© European Union Aviation Safety Agency. All rights reserved. ISO9001 Certified. Proprietary document. Copies are not controlled. Confirm revision status through the EASA-Internet/Intranet. An agency of the European Union Page 1 of 3 ECQB Update January 2024 ECQB 2024 ECQB 2024 adds new questions to
High,010 Air Law / ATC,010 Air Law / ATC; 040 Human Performance; 050 Meteorology,Training textbook / exam prep,pplprogrammev1.pdf,/Users/rainerkoelle/Downloads/pplprogrammev1.pdf,pdf,1.7,80,Likely directly useful for exam-style concise explanations.,,"The Honourable Company of Air Pilots PPL(A) Training Programme SEP/TMG AltMoC1.FCL.210;215 Validated by the UK CAA Version 1 March 2019 HCAP PPL v1 March 2019 1 © AirPilots 2019 Nothing in this document supersedes any legislation, rules, regulations or procedures contained in any operational documen"
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Training textbook / exam prep,ATPL-Electrics.pdf,/Users/rainerkoelle/Downloads/ATPL-Electrics.pdf,pdf,10.4,284,Likely directly useful for exam-style concise explanations.,,"ATPL GROUND TRAINING SERIES ELECTRICS AND ELECTRONICS + + - + IntroductionI ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium, copied,"
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Training textbook / exam prep,ATPL-Instrumentation.pdf,/Users/rainerkoelle/Downloads/ATPL-Instrumentation.pdf,pdf,46.6,668,Likely directly useful for exam-style concise explanations.,,"IntroductionI ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2015 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium, copied, stored in a retrieval system, lent, hired, rented, transmitted"
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Resource,BIR-GLEIM-ipfmadd2.pdf,/Users/rainerkoelle/Downloads/BIR-GLEIM-ipfmadd2.pdf,pdf,0.1,19,Potential support resource; inspect before using for gap fill.,,"1 Copyright © 2000 by Gleim Publications, Inc. and Gleim Internet, Inc. All rights reserved. Duplication prohibited. ADDITIONAL INSTRUMENT FLIGHT MANEUVERS Instrument Takeoff (ITO) ............................................................ 1 Pattern A .............................................."
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Training textbook / exam prep,BIR-INST-gyro.pdf,/Users/rainerkoelle/Downloads/BIR-INST-gyro.pdf,pdf,0.2,5,Likely directly useful for exam-style concise explanations.,,"  [OPS SAMPLE] OPERATIONAL PROCEDURES [INSTRUMENTS SAMPLE] GYROSCOPIC PRINCIPLES FREE SAMPLE GYROSCOPIC PRINCIPLES · Properties of a Gyroscope. Rigidity: tendency to maintain the axis pointing in a fixed direction in space, unless subjected to an external force. ⚬ Increases with mass, specially if"
High,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Training textbook / exam prep,BIRA-Instrumentenflugberechtigung-1.pdf,/Users/rainerkoelle/Downloads/BIRA-Instrumentenflugberechtigung-1.pdf,pdf,0.1,1,Likely directly useful for exam-style concise explanations.,,"Genannte Theorie- und Praxisstunden sind vorgeschriebene Mindeststunden. Änderung von Preisen und Leistungen vorbehalten. Preise in EUR inkl. gesetzlicher MwSt. (V002, 30.04.2022) ANSCHRIFT FTA FLUGTRAINING ASCHAFFENBURG GMBH | FLUGPLATZ | 63762 GROSSOSTHEIM | TELEFON 06026 994994 TELEFAX 06026 9949"
