subject,reference,objective,exam_modules,tk_modules,nearest_score,nearest_source,nearest_heading
033-Flight-Planning,033.02.01.02.01,Determine courses and distances.,2,3,0.377,010-air-law.qmd,Approach Procedures > Approach Area Splays
033-Flight-Planning,033.02.01.02.02,Determine bearings and distances of waypoints from radio-navigation aids.,2,3,0.694,030-flight-planning-and-monitoring.qmd,Approach Charts > Approach Chart Sections
033-Flight-Planning,033.02.01.05.02,"Select IAPs appropriate for departure, destination and alternate aerodromes.",2,,0.596,030-flight-planning-and-monitoring.qmd,Key Terms and Definitions > Meteorology - Weather Information
033-Flight-Planning,033.02.01.07.01,"Complete a navigation plan with the courses, distances and frequencies taken from charts.",,3,0.698,030-flight-planning-and-monitoring.qmd,Approach Charts > Approach Chart Sections
033-Flight-Planning,033.02.01.07.04,Determine variation and calculate magnetic/true courses.,,3,0.459,030-flight-planning-and-monitoring.qmd,"Basic Flight Planning Calculations > Heading, Track, Drift"
033-Flight-Planning,033.03.01.01.01,"Convert to volume, mass and density given in different units which are commonly used in aviation.",,3,0.281,030-flight-planning-and-monitoring.qmd,Key Terms and Definitions > Aircraft Mass Terminology
033-Flight-Planning,033.03.01.01.02,"Determine relevant data, such as fuel capacity, fuel flow/ consumption at different power/thrust settings, altitudes and atmospheric conditions, from the flight manual.",,3,0.545,030-flight-planning-and-monitoring.qmd,Fuel Planning MEP > Cruise
033-Flight-Planning,033.03.01.01.05,Calculate the required fuel for a VFR flight from given forecast meteorological conditions.,3,,0.699,090-communications.qmd,MET Reporting Procedures > Terminal Aerodrome Forecasts TAF
033-Flight-Planning,033.04.01.01.01,Check that the ground- and satellite-based facilities and services required for the planned flight are available and adequate.,,3,0.438,030-flight-planning-and-monitoring.qmd,Operational Flight Plans
033-Flight-Planning,033.04.01.03.01,"Find and analyse the latest en-route state for: airway(s) or route(s); restricted, danger and prohibited areas; changes of frequencies for communications, navigation aids and facilities.",3,,0.564,030-flight-planning-and-monitoring.qmd,Operational Flight Plans
033-Flight-Planning,033.04.02.02.03,Confirm magnetic headings and GSs.,,3,0.391,030-flight-planning-and-monitoring.qmd,Operational Flight Plans
033-Flight-Planning,033.04.02.02.04,Confirm the individual leg times and the total time en route.,,3,0.568,090-communications.qmd,Radio Techniques > Transmission of Time
033-Flight-Planning,033.04.02.05.01,Calculate the revised fuel data in accordance with the changed conditions.,,3,0.513,030-flight-planning-and-monitoring.qmd,FUEL REQUIRED EXERCISE MEP > Minimum Ramp Fuel
062-Radio-Nav,062.02.02.01.16,"State that on modern aircraft, the BFO is activated automatically.",,2,0.467,060-radio-navigation.qmd,NDB and ADF > Other ADF tuning panels
062-Radio-Nav,062.02.02.03.04,Explain that the interference between sky waves and ground waves leads to 'fading'.,2,,0.651,060-radio-navigation.qmd,Wave Propagation > Sky Waves
062-Radio-Nav,062.02.03.04.02,"State that due to reflections from terrain, radials can be bent and lead to wrong or fluctuating indications, which is called 'scalloping'.",2,,0.475,060-radio-navigation.qmd,VOR - VHF omni-directional range > Scalloping and Site Error
062-Radio-Nav,062.02.04.01.02,State that the system comprises two basic components: the aircraft component: the interrogator; the ground component: the transponder.,,2,0.558,060-radio-navigation.qmd,Distance Measuring Equipment DME > practical challenges
062-Radio-Nav,062.02.05.01.09,Explain that both the LOC and the GP antenna radiates side lobes (false beams) which can give rise to false centre-line and false GP indication.,2,,0.517,010-air-law.qmd,Aerodrome Lighting > Runway Centre Line Lights
062-Radio-Nav,062.02.05.02.04,State that warning flags will appear for both the LOC and the GP if the received signal strength is below a threshold value.,2,,0.318,010-air-law.qmd,Aerodromes > displaced threshold
062-Radio-Nav,062.03.04.02.01,State that the interrogator transmits its interrogations in the form of a series of pulse pairs.,,2,0.631,060-radio-navigation.qmd,"Distance Measuring Equipment DME > Squitters and ""Auto Standby Mode'"
062-Radio-Nav,062.03.04.02.08,State the need for compatibility of Mode S with Mode A and C.,,2,0.646,060-radio-navigation.qmd,Secondary Surveillance Radar SSR > Mode A/C only All-Call
062-Radio-Nav,062.03.04.03.01,State that an aircraft can be identified by a unique code.,2,,0.490,010-air-law.qmd,Aerodrome Lighting > aerodrome beacon
062-Radio-Nav,062.06.01.02.11,State that satellites are equipped with atomic clocks which allow the system to keep very accurate time reference.,,2,0.685,060-radio-navigation.qmd,Satellite Navigation > Pseudo Ranges
062-Radio-Nav,062.06.01.02.17,State that each range defines a sphere with its centre at the satellite.,,2,0.670,060-radio-navigation.qmd,Satellite Navigation > NAVSTAR GPS
062-Radio-Nav,062.06.01.02.22,State that RAIM is achieved by consistency checks among range measurements.,2,,0.391,060-radio-navigation.qmd,Satellite Navigation > User Equivalent Range Errors
062-Radio-Nav,062.06.02.02.02,State that the frequency band of the data link is identical to that of the GPS signals.,,2,0.548,060-radio-navigation.qmd,Radio Theory > Phase and Phase Difference
062-Radio-Nav,062.06.02.02.03,Explain that the use of geostationary satellites enables messages to be broadcast over very wide areas.,,2,0.507,060-radio-navigation.qmd,Satellite Augmentation Systems > Satellite Based Augmentation Systems SBAS
062-Radio-Nav,062.06.02.02.04,"State that pseudo-range measurements to these geostationary satellites can also be made, as if they were GPS satellites.",,2,0.526,060-radio-navigation.qmd,Satellite Navigation > NAVSTAR GPS
062-Radio-Nav,062.07.01.01.09,Define availability as the percentage of time (annually) during which the system is available for use.,2,3,0.511,060-radio-navigation.qmd,Satellite Navigation > GLOSNASS System Status
090-Communications,090.01.01.03.01,Define Q-code groups commonly used in RT air-ground communications: pressure settings; directions and bearings.,3,,0.487,090-communications.qmd,Radio Phraseology > General RT Procedures
